labelAnnotations,fullTextAnnotation,image_file
"Crowd,Team,Cap,Leisure,Recreation,T-shirt,Hat,Baseball cap,Sleeve,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_106.jpeg
"Carmine,Crowd,Competition event,Fan,Recreation,Sport venue,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1060.jpeg
"Crowd,Team,Competition event,Fan,Suit,Recreation,Audience,Sport venue,Public event,Event","Varmacy
OVE
LOVE
CLI
714",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1061.jpeg
"Engineering,Crowd,Team,Steel,Leisure,Fan,Suit,T-shirt,Audience,Event",CLI,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1062.jpeg
"Jacket,Crowd,Team,Jeans,Fan,Suit,Recreation,Audience,Sport venue,Event",CL,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1063.jpeg
"Carmine,Crowd,Team,Fan,Suit,Flag,Hat,Public event,Transport,Event",CLI,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1064.jpeg
"Crowd,Team,Competition event,Sports,Fan,Recreation,Sport venue,Fun,Event",CLIC,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1065.jpeg
"Crew,Crowd,Jeans,Fan,Suit,T-shirt,City,Sport venue,Event",CLICK,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1066.jpeg
"Crowd,Arena,Trousers,World,Fan,Suit,T-shirt,Field house,Sport venue,Event",CLICK,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1067.jpeg
"Jacket,Crew,Crowd,Stage equipment,Jeans,Fan,Suit,Recreation,T-shirt,Event",CLIC,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1068.jpeg
"Carmine,Crowd,Team,Gesture,Stage equipment,Sportswear,Jeans,Fan,Suit,Event",CLIC,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1069.jpeg
"Goggles,Crowd,Team,Cap,Red,T-shirt,Hat,Fun,Baseball cap,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_107.jpeg
"Personal protective equipment,Engineering,Crowd,Carmine,Stage equipment,Fan,Suit,Recreation,T-shirt,Event","chamacy
CLIC",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1070.jpeg
"Carmine,Crowd,Sportswear,Sports,Jeans,Fan,Suit,Recreation,Art,Event","pharmacy
LIC",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1071.jpeg
